DEBUG 0
transformer.h.0_ln_1_weight 1000
transformer.h.0_ln_1_bias 2000
transformer.h.0_attn_kproj_weight 3000
transformer.h.0_attn_vproj_weight 123000
transformer.h.0_attn_qproj_weight 243000
transformer.h.0_attn_outproj_weight 363000
transformer.h.0_attn_outproj_bias 483000
transformer.h.0_ln_2_weight 484000
transformer.h.0_ln_2_bias 485000
transformer.h.0_mlp_cfc_weight 486000
transformer.h.0_mlp_cfc_bias 906000
transformer.h.0_mlp_cproj_weight 908000
transformer.h.0_mlp_cproj_bias d88000
END: d89000
